INOCTETS,OUTOCTETS,INERRORS
1786388400:,-nan,-nan
1786390200:,-nan,-nan
1786392000:,-nan,-nan
1786393800:,-nan,-nan
1786395600:,-nan,-nan
1786397400:,-nan,-nan
1786399200:,-nan,-nan
1786401000:,-nan,-nan
1786402800:,-nan,-nan
1786404600:,-nan,-nan
1786406400:,-nan,-nan
1786408200:,-nan,-nan
1786410000:,-nan,-nan
1786411800:,-nan,-nan
1786413600:,-nan,-nan
1786415400:,-nan,-nan
1786417200:,-nan,-nan
1786419000:,-nan,-nan
1786420800:,-nan,-nan
1786422600:,-nan,-nan
1786424400:,-nan,-nan
1786426200:,-nan,-nan
1786428000:,-nan,-nan
1786429800:,-nan,-nan
1786431600:,-nan,-nan
1786433400:,-nan,-nan
1786435200:,-nan,-nan
1786437000:,-nan,-nan
1786438800:,-nan,-nan
1786440600:,-nan,-nan
1786442400:,-nan,-nan
1786444200:,-nan,-nan
1786446000:,-nan,-nan
1786447800:,-nan,-nan
1786449600:,-nan,-nan
1786451400:,-nan,-nan
1786453200:,-nan,-nan
1786455000:,-nan,-nan
1786456800:,-nan,-nan
1786458600:,-nan,-nan
1786460400:,-nan,-nan
1786462200:,-nan,-nan
1786464000:,-nan,-nan
1786465800:,-nan,-nan
1786467600:,-nan,-nan
1786469400:,-nan,-nan
1786471200:,-nan,-nan
1786473000:,-nan,-nan
1786474800:,-nan,-nan
1786476600:,-nan,-nan
1786478400:,-nan,-nan
1786480200:,-nan,-nan
1786482000:,-nan,-nan
1786483800:,-nan,-nan
1786485600:,-nan,-nan
1786487400:,-nan,-nan
1786489200:,-nan,-nan
1786491000:,-nan,-nan
1786492800:,-nan,-nan
1786494600:,-nan,-nan
1786496400:,-nan,-nan
1786498200:,-nan,-nan
1786500000:,-nan,-nan
1786501800:,-nan,-nan
1786503600:,-nan,-nan
1786505400:,-nan,-nan
1786507200:,-nan,-nan
1786509000:,-nan,-nan
1786510800:,-nan,-nan
1786512600:,-nan,-nan
1786514400:,-nan,-nan
1786516200:,-nan,-nan
1786518000:,-nan,-nan
1786519800:,-nan,-nan
1786521600:,-nan,-nan
1786523400:,-nan,-nan
1786525200:,-nan,-nan
1786527000:,-nan,-nan
1786528800:,-nan,-nan
1786530600:,-nan,-nan
1786532400:,-nan,-nan
1786534200:,-nan,-nan
1786536000:,-nan,-nan
1786537800:,-nan,-nan
1786539600:,-nan,-nan
1786541400:,-nan,-nan
1786543200:,-nan,-nan
1786545000:,-nan,-nan
1786546800:,-nan,-nan
1786548600:,-nan,-nan
1786550400:,-nan,-nan
1786552200:,-nan,-nan
1786554000:,-nan,-nan
1786555800:,-nan,-nan
1786557600:,-nan,-nan
1786559400:,-nan,-nan
1786561200:,-nan,-nan
1786563000:,-nan,-nan
1786564800:,-nan,-nan
1786566600:,-nan,-nan
1786568400:,-nan,-nan
1786570200:,-nan,-nan
1786572000:,-nan,-nan
1786573800:,-nan,-nan
1786575600:,-nan,-nan
1786577400:,-nan,-nan
1786579200:,-nan,-nan
1786581000:,-nan,-nan
1786582800:,-nan,-nan
1786584600:,-nan,-nan
1786586400:,-nan,-nan
1786588200:,-nan,-nan
1786590000:,-nan,-nan
1786591800:,-nan,-nan
1786593600:,-nan,-nan
1786595400:,-nan,-nan
1786597200:,-nan,-nan
1786599000:,-nan,-nan
1786600800:,-nan,-nan
1786602600:,-nan,-nan
1786604400:,-nan,-nan
1786606200:,-nan,-nan
1786608000:,-nan,-nan
1786609800:,-nan,-nan
1786611600:,-nan,-nan
1786613400:,-nan,-nan
1786615200:,-nan,-nan
1786617000:,-nan,-nan
1786618800:,-nan,-nan
1786620600:,-nan,-nan
1786622400:,-nan,-nan
